Rank,Athlete,Distance,Runs,Longest,Elevation,Pace
1,Kayden SCHUMACHER,68.4 km,5,22.0 km,510 m,4:42 /km
2,Alexander BROWN,56.2 km,4,18.0 km,380 m,5:05 /km
3,Joshua SAVAGE,51.0 km,4,15.5 km,340 m,4:50 /km
4,Quinn DAVIS,45.8 km,4,14.0 km,300 m,5:02 /km
5,Adrian PLATT,41.2 km,4,11.5 km,230 m,5:30 /km
6,Samir PATEL,38.5 km,3,13.0 km,210 m,5:18 /km
7,Liam O'CONNOR,34.0 km,3,11.0 km,175 m,5:35 /km
8,Marcus REID,30.5 km,3,10.5 km,150 m,5:45 /km
9,Daniel EVANS,26.8 km,3,10.0 km,135 m,5:28 /km
10,Oliver TAYLOR,24.0 km,2,12.0 km,120 m,5:40 /km
11,Ben WRIGHT,21.5 km,2,11.0 km,105 m,5:55 /km
12,Chris MARTIN,18.2 km,2,9.5 km,90 m,6:10 /km
13,James WILSON,15.0 km,2,8.0 km,80 m,5:50 /km
14,Thomas HALL,12.5 km,1,12.5 km,65 m,6:05 /km
15,David GREEN,10.0 km,1,10.0 km,50 m,6:25 /km
16,Emma ROBERTS,28.4 km,3,10.0 km,160 m,5:32 /km
17,Sophie CLARKE,22.1 km,2,11.5 km,115 m,5:48 /km
18,Michael HUGHES,19.5 km,2,10.0 km,95 m,5:58 /km
19,Hannah LEWIS,16.8 km,2,8.5 km,85 m,6:12 /km
20,Matthew WALKER,14.2 km,1,14.2 km,75 m,6:02 /km
